track_name	track_artist	track_popularity	track_album_name	track_album_release_date	playlist_name	playlist_id	dancebility	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	subgenre	genre
Caroline	Amine	4	Caroline	2016-08-26	A Loose Definition of Indie Poptimism	ABuBRY	0.945	0.394	10	-8.571	1	0.492	0.303	0	0.131	0.743	120.058	209747	indie poptimism	pop
Ignition (Remix)	R. Kelly	9	The R. In R&B Collection: Volume 1	2003-09-11	A Loose Definition of Indie Poptimism	ABuBRY	0.787	0.527	1	-6.981	1	0.0512	0.0615	0	0.0656	0.807	133.107	187733	indie poptimism	pop
Stereo Hearts (feat. Adam Levine)	Gym Class Heroes	59	The Papercut Chronicles II (Deluxe)	2011-11-15	A Loose Definition of Indie Poptimism	ABuBRY	0.646	0.795	9	-3.293	1	0.0976	0.0319	0	0.267	0.796	89.99	210960	indie poptimism	pop
What Do You Love	Seeb	57	What Do You Love	2016-10-14	A Loose Definition of Indie Poptimism	ABuBRY	0.55	0.918	11	-2.818	1	0.0723	0.149	1.7e-05	0.355	0.35	95.977	211875	indie poptimism	pop
Call on Me - Ryan Riback Remix	Starley	68	Call On Me (Remixes)	2016-10-18	A Loose Definition of Indie Poptimism	ABuBRY	0.67	0.838	0	-4.031	1	0.0362	0.0604	0.000611	0.159	0.717	104.998	222041	indie poptimism	pop
Solo Dance	Martin Jensen	15	Solo Dance	2016-11-04	A Loose Definition of Indie Poptimism	ABuBRY	0.744	0.836	6	-2.396	0	0.0507	0.0435	0	0.194	0.36	114.965	174933	indie poptimism	pop
Debut	Maria Hazell	11	Debut	2016-09-09	A Loose Definition of Indie Poptimism	ABuBRY	0.616	0.848	8	-3.021	1	0.202	0.866	0	0.108	0.519	78.27	196947	indie poptimism	pop
All Night	The Vamps	4	All Night	2016-10-14	A Loose Definition of Indie Poptimism	ABuBRY	0.564	0.768	8	-6.431	1	0.0342	0.00262	0	0.324	0.362	144.971	197793	indie poptimism	pop
Whole Heart	Gryffin	61	Whole Heart	2016-08-26	A Loose Definition of Indie Poptimism	ABuBRY	0.501	0.648	9	-7.173	1	0.0696	0.028	1.26e-05	0.153	0.191	163.834	225200	indie poptimism	pop
Sexual	NEIKED	51	Sexual	2016-08-26	A Loose Definition of Indie Poptimism	ABuBRY	0.793	0.567	2	-7.604	1	0.0813	0.0687	0	0.0663	0.813	108.007	188889	indie poptimism	pop
Runaways	Sam Feldt	8	Runaways	2016-10-07	A Loose Definition of Indie Poptimism	ABuBRY	0.757	0.565	11	-5.895	1	0.0324	0.174	0	0.105	0.682	119.959	180402	indie poptimism	pop
Let Me Hold You (Turn Me On)	Cheat Codes	9	Let Me Hold You (Turn Me On)	2016-04-13	A Loose Definition of Indie Poptimism	ABuBRY	0.681	0.774	1	-3.167	0	0.0787	0.0992	0	0.35	0.267	102.924	162425	indie poptimism	pop
Kids	OneRepublic	63	Oh My My	2016-12-02	A Loose Definition of Indie Poptimism	ABuBRY	0.596	0.732	2	-6.189	1	0.0401	0.0153	0	0.318	0.228	99.98	238387	indie poptimism	pop
Playing To Lose	Lemaitre	28	Afterglow	2016-10-07	A Loose Definition of Indie Poptimism	ABuBRY	0.398	0.726	7	-4.048	1	0.0417	0.131	0	0.251	0.427	143.621	204267	indie poptimism	pop
Hold On - Radio Edit	Moguai	4	Hold On	2015-09-11	A Loose Definition of Indie Poptimism	ABuBRY	0.596	0.77	5	-5.852	1	0.0775	0.21	0	0.0938	0.547	124.914	178560	indie poptimism	pop
By Your Side	Jonas Blue	58	By Your Side	2016-10-28	A Loose Definition of Indie Poptimism	ABuBRY	0.696	0.743	6	-3.851	1	0.0329	0.0773	0	0.0587	0.636	123.007	201254	indie poptimism	pop
We Are (Ziggy & Carola)	Peg Parnevik	38	We Are (Ziggy & Carola)	2016-06-03	A Loose Definition of Indie Poptimism	ABuBRY	0.77	0.935	1	-2.539	0	0.1	0.256	1.26e-06	0.309	0.964	150.035	188867	indie poptimism	pop
Wild Things	Alessia Cara	64	Know-It-All (Deluxe)	2015-11-13	A Loose Definition of Indie Poptimism	ABuBRY	0.741	0.626	1	-4.826	0	0.0886	0.02	0	0.0828	0.706	108.029	188493	indie poptimism	pop
The Nights - Avicii By Avicii	Avicii	43	The Nights (Avicii By Avicii)	2014-12-31	A Loose Definition of Indie Poptimism	ABuBRY	0.711	0.521	6	-5.104	1	0.0697	0.0872	NA	0.0807	0.34	125.995	264133	indie poptimism	pop
Kanye	The Chainsmokers	60	Kanye	2014-08-05	A Loose Definition of Indie Poptimism	ABuBRY	0.599	0.619	10	-6.575	1	0.0523	0.002	1.49e-06	0.117	0.121	128.041	229947	indie poptimism	pop
Good Feeling	Flo Rida	59	Good Feeling	2011-08-29	A Loose Definition of Indie Poptimism	ABuBRY	0.706	0.89	1	-4.444	0	0.0688	0.0588	0.00286	0.306	0.684	128.011	248133	indie poptimism	pop
Cash Machine	DRAM	40	Cash Machine	2016-09-09	A Loose Definition of Indie Poptimism	ABuBRY	0.745	0.669	9	-3.613	1	0.129	0.522	0	0.154	0.699	143.164	181154	indie poptimism	pop
Atmosphere	Kaskade	19	Atmosphere	2013-09-09	A Loose Definition of Indie Poptimism	ABuBRY	0.585	0.77	3	-4.604	1	0.0396	0.0227	NA	0.0692	0.393	122.987	231453	indie poptimism	pop
L.A. Story (feat. Mike Posner)	Sammy Adams	50	L.A. Story (feat. Mike Posner)	2013-05-28	A Loose Definition of Indie Poptimism	ABuBRY	0.593	0.872	1	-4.525	0	0.0959	0.0784	0	0.286	0.523	91.964	208000	indie poptimism	pop
Paradise	Coldplay	77	Mylo Xyloto	2011-10-24	A Loose Definition of Indie Poptimism	ABuBRY	0.449	0.585	5	-6.762	1	0.0268	0.0522	8.49e-05	0.0833	0.203	139.627	278719	indie poptimism	pop
Riptide	Vance Joy	78	Dream Your Life Away (Special Edition)	2014-09-09	A Loose Definition of Indie Poptimism	ABuBRY	0.484	0.731	1	-6.694	1	0.0379	0.431	0	0.151	0.51	101.654	204280	indie poptimism	pop
Habits (Stay High) - Hippie Sabotage Remix	Tove Lo	65	Queen Of The Clouds	2014-01-01	A Loose Definition of Indie Poptimism	ABuBRY	0.735	0.686	4	-7.562	0	0.0366	0.00108	NA	0.0933	0.0656	121.011	258933	indie poptimism	pop
Borderline - Vanic Remix	Tove Styrke	58	Borderline (Vanic Remix)	2015-03-31	A Loose Definition of Indie Poptimism	ABuBRY	0.406	0.949	8	-4.488	0	0.114	0.00685	5.2e-06	0.0805	0.457	160.007	256500	indie poptimism	pop
Samurai	Vanic	47	Samurai	2016-09-16	A Loose Definition of Indie Poptimism	ABuBRY	0.381	0.668	1	-4.328	0	0.0326	0.00457	0	0.0877	0.104	75.004	201600	indie poptimism	pop
Hypnotic - Vanic Remix	Zella Day	59	Hypnotic (Vanic Remix)	2016-01-15	A Loose Definition of Indie Poptimism	ABuBRY	0.552	0.745	6	-5.564	0	0.0807	0.00361	0	0.43	0.488	159.915	282000	indie poptimism	pop
False Alarm	Matoma	49	False Alarm	2016-06-24	A Loose Definition of Indie Poptimism	ABuBRY	0.643	0.732	5	-6.762	0	0.0294	0.00681	4.57e-05	0.0606	0.181	102.979	224272	indie poptimism	pop
All Time Low	Jon Bellion	73	The Human Condition	2016-06-10	A Loose Definition of Indie Poptimism	ABuBRY	0.617	0.567	0	-4.188	1	0.0828	0.0584	0	0.0933	0.505	90.246	217603	indie poptimism	pop
in my miNd	Maty Noyes	58	Noyes Complaint	2016-10-28	A Loose Definition of Indie Poptimism	ABuBRY	0.768	0.632	0	-3.877	0	0.0252	0.469	0	0.0391	0.788	102.075	212267	indie poptimism	pop
Gravity	Timeflies	1	Gravity	2016-11-11	A Loose Definition of Indie Poptimism	ABuBRY	0.68	0.666	10	-5.698	1	0.0441	0.0217	0	0.125	0.501	74	214787	indie poptimism	pop
Naked	Elin Bergman	34	Naked	2016-11-04	A Loose Definition of Indie Poptimism	ABuBRY	0.703	0.559	9	-7.875	1	0.0444	0.0538	0	0.0589	0.373	110.043	204510	indie poptimism	pop
Chills	Down With Webster	18	Chills	2013-12-17	A Loose Definition of Indie Poptimism	ABuBRY	0.528	0.844	2	-5.095	1	0.16	0.0761	0	0.133	0.581	148.018	208026	indie poptimism	pop
Something Wrong	Timeflies	0	Something Wrong	2016-08-26	A Loose Definition of Indie Poptimism	ABuBRY	0.712	0.775	7	-5.452	0	0.298	0.0441	0	0.185	0.508	94.928	234988	indie poptimism	pop
Sit Still, Look Pretty	Daya	70	Sit Still, Look Pretty	2016-10-07	A Loose Definition of Indie Poptimism	ABuBRY	0.657	0.739	2	-4.081	1	0.274	0.141	0	0.178	0.543	181.994	202221	indie poptimism	pop
Happy	Oh Wonder	69	Happy	2020-01-03	Intro to Indie Poptimism	YHlKWq	0.698	0.516	6	-8.472	1	0.0331	0.454	0	0.0922	0.516	101.979	172907	indie poptimism	pop
Lucky	Chelsea Cutler	73	Lucky	2019-11-01	Intro to Indie Poptimism	YHlKWq	0.78	0.261	2	-9.626	1	0.0488	0.332	0	0.238	0.639	92.107	148987	indie poptimism	pop
Good Nights (feat. Mascolo)	Whethan	67	Life of a Wallflower Vol. 1	2018-11-09	Intro to Indie Poptimism	YHlKWq	0.849	0.483	6	-7.114	0	0.291	0.443	0.000141	0.0786	0.282	101.015	165618	indie poptimism	pop
Beige	Yoke Lore	50	Goodpain	2017-06-16	Intro to Indie Poptimism	YHlKWq	0.47	0.67	10	-7.526	1	0.0783	0.393	NA	0.117	0.219	83.856	204213	indie poptimism	pop
Cool Again	Shoffy	63	Lenses	2018-11-16	Intro to Indie Poptimism	YHlKWq	0.774	0.45	11	-6.86	1	0.0896	0.443	NA	0.127	0.648	90.055	191935	indie poptimism	pop
Older	Sasha Sloan	73	Older	2018-11-09	Intro to Indie Poptimism	YHlKWq	0.681	0.292	11	-9.599	1	0.0483	0.743	0	0.0974	0.162	64.002	191002	indie poptimism	pop
My Type	Saint Motel	61	My Type	2014-06-17	Intro to Indie Poptimism	YHlKWq	0.596	0.897	10	-2.94	1	0.0462	0.0641	5.24e-05	0.0628	0.578	118	206394	indie poptimism	pop
Call Me Maybe	Carly Rae Jepsen	76	Kiss	2012-01-01	Intro to Indie Poptimism	YHlKWq	0.783	0.58	7	-6.548	1	0.0408	0.0114	2.28e-06	0.108	0.66	120.021	193400	indie poptimism	pop
Your Side Of The Bed	Loote	67	single.	2018-06-15	Intro to Indie Poptimism	YHlKWq	0.781	0.742	8	-4.978	1	0.0296	0.0649	0	0.293	0.91	109.915	197147	indie poptimism	pop
Anti-Everything	Lost Kings	70	Paper Crowns (Deluxe)	2019-01-18	Intro to Indie Poptimism	YHlKWq	0.734	0.663	0	-7.292	1	0.185	0.28	0	0.12	0.256	101.943	183853	indie poptimism	pop
Panic Room	Au/Ra	75	Panic Room	2018-02-09	Intro to Indie Poptimism	YHlKWq	0.495	0.426	8	-9.434	1	0.0736	0.152	5.65e-06	0.099	0.0636	97.91	237773	indie poptimism	pop
Best Day Of My Life	American Authors	76	Oh, What A Life	2014-01-01	Intro to Indie Poptimism	YHlKWq	0.673	0.902	2	-2.392	1	0.0346	0.0591	0.000262	0.0558	0.538	100.012	194240	indie poptimism	pop
Cellophane	Ella Vos	51	Cellophane	2020-01-10	The Pulse of Indie Poptimism	ysrwXX	0.694	0.481	1	-9.169	1	0.0534	0.0901	0.000109	0.144	0.112	119.933	165000	indie poptimism	pop
Older	Shallou	66	Older	2020-01-10	The Pulse of Indie Poptimism	ysrwXX	0.543	0.483	2	-8.222	1	0.0697	0.285	2.6e-05	0.155	0.183	142.851	218587	indie poptimism	pop
So High	JAYLIEN	53	So High	2020-01-03	The Pulse of Indie Poptimism	ysrwXX	0.511	0.715	5	-6.547	0	0.174	0.0336	0	0.349	0.621	138.014	229565	indie poptimism	pop
isohel	EDEN	63	isohel	2020-01-10	The Pulse of Indie Poptimism	ysrwXX	0.338	0.512	4	-9.596	1	0.11	0.786	3.93e-06	0.819	0.203	89.15	270677	indie poptimism	pop
Deleter	Grouplove	61	Deleter	2020-01-08	The Pulse of Indie Poptimism	ysrwXX	0.421	0.991	8	-3.678	1	0.124	3.81e-06	0.0466	0.13	0.446	159.998	234387	indie poptimism	pop
the movies	Nightly	55	the movies	2020-01-10	The Pulse of Indie Poptimism	ysrwXX	0.651	0.87	11	-4.818	1	0.0262	0.0773	1.12e-05	0.0852	0.811	109.984	178909	indie poptimism	pop
Half Your Age	Joywave	56	Half Your Age	2020-01-07	The Pulse of Indie Poptimism	ysrwXX	0.463	0.786	9	-4.323	1	0.0323	0.0112	NA	0.654	0.492	84.966	209227	indie poptimism	pop
This Is Our Time	WILD	57	This Is Our Time	2019-12-28	The Pulse of Indie Poptimism	ysrwXX	0.531	0.724	8	-7.341	1	0.0283	0.0243	0.0515	0.112	0.288	145.022	202478	indie poptimism	pop
Slow	SHY Martin	66	Slow	2020-01-10	The Pulse of Indie Poptimism	ysrwXX	0.636	0.243	2	-9.509	1	0.04	0.815	0	0.111	0.239	142.016	163547	indie poptimism	pop
No Sleep	No Love For The Middle Child	51	No Sleep	2020-01-03	The Pulse of Indie Poptimism	ysrwXX	0.614	0.608	10	-7.356	1	0.0375	0.451	5.03e-05	0.134	0.478	117.056	207179	indie poptimism	pop
Push My Luck - Famba Remix	The Chainsmokers	59	Push My Luck - The Remixes	2019-11-29	The Pulse of Indie Poptimism	ysrwXX	0.632	0.811	11	-6.427	0	0.0396	0.000873	0.000525	0.0553	0.339	123.966	178067	indie poptimism	pop
You Love Me	flora cash	56	You Love Me	2020-01-10	The Pulse of Indie Poptimism	ysrwXX	0.542	0.49	9	-7.455	0	0.0276	0.363	0	0.108	0.24	114.041	221640	indie poptimism	pop
MIDDLE OF THE NIGHT	Elley Duhe	57	MIDDLE OF THE NIGHT	2020-01-10	The Pulse of Indie Poptimism	ysrwXX	0.41	0.611	4	-8.271	0	0.0467	0.0228	0	0.116	0.0899	185.727	184448	indie poptimism	pop
Faith (with Dolly Parton) [feat. Mr. Probz] - Acoustic	Galantis	57	Faith (with Dolly Parton) [feat. Mr. Probz] [Acoustic]	2020-01-10	The Pulse of Indie Poptimism	ysrwXX	0.557	0.518	7	-7.043	1	0.0315	0.339	0	0.0867	0.354	110.291	173218	indie poptimism	pop
Changed	Henry Park	44	Changed	2019-06-01	The Pulse of Indie Poptimism	ysrwXX	0.478	0.509	8	-9.967	1	0.0347	0.304	0.00318	0.0753	0.0875	89.851	253792	indie poptimism	pop
Kindergarten	chloe moriondo	57	Kindergarten	2020-01-10	The Pulse of Indie Poptimism	ysrwXX	0.692	0.285	7	-14.687	1	0.106	0.548	0	0.0978	0.278	119.949	145625	indie poptimism	pop
Radical - Edit	Amtrac	58	Radical (Edit)	2020-01-03	The Pulse of Indie Poptimism	ysrwXX	0.652	0.751	6	-8.327	0	0.0369	0.112	0.592	0.102	0.0399	122.024	237978	indie poptimism	pop
MMXX	Royal & the Serpent	48	MMXX	2020-01-10	The Pulse of Indie Poptimism	ysrwXX	0.821	0.5	10	-7.167	0	0.16	0.187	NA	0.111	0.603	82.475	138909	indie poptimism	pop
Hallucinations - Acoustic	PVRIS	52	Hallucinations (Acoustic)	2020-01-10	The Pulse of Indie Poptimism	ysrwXX	0.395	0.432	11	-4.923	0	0.0303	0.841	7.08e-05	0.0927	0.32	90.542	272366	indie poptimism	pop
So Predictable	Set It Off	57	After Midnight (Part 2)	2020-01-03	The Pulse of Indie Poptimism	ysrwXX	0.564	0.867	5	-3.238	0	0.0541	0.11	0	0.155	0.505	150.004	181332	indie poptimism	pop
backup	guardin	55	backup	2020-01-03	The Pulse of Indie Poptimism	ysrwXX	0.633	0.327	0	-3.599	1	0.0386	0.831	3.04e-05	0.114	0.57	127.853	165015	indie poptimism	pop
The Good Life	Devon Gilfillian	49	Black Hole Rainbow	2020-01-10	The Pulse of Indie Poptimism	ysrwXX	0.59	0.701	11	-5.488	1	0.105	0.33	2.95e-05	0.0888	0.595	86.758	245080	indie poptimism	pop
You Love It!	ripmattblack	49	You Love It!	2020-01-08	The Pulse of Indie Poptimism	ysrwXX	0.88	0.74	5	-8.848	0	0.0327	0.201	3.57e-05	0.0772	0.981	119.985	173195	indie poptimism	pop
Outside Inside	EDEN KAI	48	Outside Inside	2020-01-02	The Pulse of Indie Poptimism	ysrwXX	0.698	0.515	1	-10.985	1	0.0399	0.189	0.00168	0.164	0.509	99.999	173667	indie poptimism	pop
Swing (feat. Allday)	Sofi Tukker	9	Swing (feat. Allday)	2020-01-10	The Pulse of Indie Poptimism	ysrwXX	0.76	0.731	5	-4.864	0	0.134	0.0159	NA	0.151	0.49	123.063	179279	indie poptimism	pop
Go to Sleep Little Baby	Niykee Heaton	47	Go to Sleep Little Baby	2020-01-01	The Pulse of Indie Poptimism	ysrwXX	0.55	0.182	10	-12.543	1	0.0306	0.72	0	0.165	0.369	94.806	164153	indie poptimism	pop
U DO U	Yung Scuff	47	U DO U	2020-01-02	The Pulse of Indie Poptimism	ysrwXX	0.697	0.497	11	-9.934	1	0.169	0.121	0	0.111	0.49	161.988	154259	indie poptimism	pop
Hard	Noah Neiman	48	Hard	2020-01-08	The Pulse of Indie Poptimism	ysrwXX	0.496	0.797	9	-5.579	1	0.184	0.11	0	0.25	0.384	150.071	170400	indie poptimism	pop
Lonely	Walk Off the Earth	51	Lonely	2020-01-03	The Pulse of Indie Poptimism	ysrwXX	0.736	0.734	1	-5.303	1	0.0306	0.399	7.24e-06	0.117	0.509	98.001	162442	indie poptimism	pop
The New Insane	COUNTERFEIT.	50	The New Insane	2020-01-03	The Pulse of Indie Poptimism	ysrwXX	0.689	0.865	6	-5.211	1	0.0962	0.000209	1.26e-05	0.0978	0.589	105.001	172453	indie poptimism	pop
Rich & Sad	PLVTINUM	55	Rich & Sad	2020-01-10	The Pulse of Indie Poptimism	ysrwXX	0.783	0.648	8	-5.117	1	0.0839	0.0802	NA	0.2	0.616	156.028	164615	indie poptimism	pop
New York	Jake Isaac	48	New York	2020-01-10	The Pulse of Indie Poptimism	ysrwXX	0.766	0.351	0	-7.711	1	0.0276	0.827	0.00837	0.191	0.583	87.988	201883	indie poptimism	pop
me & ur ghost	blackbear	68	me & ur ghost	2020-01-16	The Pulse of Indie Poptimism	ysrwXX	0.761	0.625	7	-6.17	1	0.026	0.0696	NA	0.0784	0.875	100.022	200400	indie poptimism	pop
Answer to Love	Dexter	49	Answer to Love	2020-01-10	The Pulse of Indie Poptimism	ysrwXX	0.681	0.867	9	-4.836	1	0.0738	0.345	0	0.097	0.78	123.872	159986	indie poptimism	pop
Is She	Tori Templet	45	Is She	2020-01-03	The Pulse of Indie Poptimism	ysrwXX	0.723	0.372	9	-14.808	0	0.215	0.268	1.25e-05	0.107	0.387	77.99	190772	indie poptimism	pop
Beautiful Stranger	Marcus King	49	Beautiful Stranger	2020-01-10	The Pulse of Indie Poptimism	ysrwXX	0.485	0.248	4	-10.566	1	0.0292	0.837	1.52e-05	0.0935	0.188	111.662	247547	indie poptimism	pop
melancholyism.	Super Whatevr	46	melancholyism.	2020-01-07	The Pulse of Indie Poptimism	ysrwXX	0.44	0.652	0	-6.201	0	0.079	0.0357	0.000136	0.0587	0.5	93.353	188107	indie poptimism	pop
Me Time	Brooke	37	Me Time	2019-12-27	The Pulse of Indie Poptimism	ysrwXX	0.696	0.396	11	-9.165	0	0.0556	0.446	0	0.128	0.422	91.978	168424	indie poptimism	pop
Just Say It out Loud	Gamma Skies	47	In a Spaceship	2019-12-13	The Pulse of Indie Poptimism	ysrwXX	0.712	0.506	8	-9.499	0	0.0429	0.796	0	0.115	0.502	93.008	203238	indie poptimism	pop
Youuu	COIN	54	Youuu	2020-01-16	The Pulse of Indie Poptimism	ysrwXX	0.528	0.619	2	-6.959	1	0.0282	0.0029	0	0.291	0.0845	102.951	235267	indie poptimism	pop
But I Like It	Lauren Sanderson	49	Midwest Kids Can Make It Big	2020-01-13	The Pulse of Indie Poptimism	ysrwXX	0.731	0.362	2	-9.341	1	0.119	0.293	0	0.11	0.652	92.935	149692	indie poptimism	pop
Sweaters	Blanks	49	Sweaters	2020-01-10	The Pulse of Indie Poptimism	ysrwXX	0.727	0.75	6	-6.223	1	0.0322	0.225	0	0.101	0.754	121.958	177848	indie poptimism	pop
So Wrong	Jae Jin	41	So Wrong	2020-01-03	The Pulse of Indie Poptimism	ysrwXX	0.446	0.225	1	-13.297	0	0.0494	0.779	0	0.0885	0.237	89.297	200904	indie poptimism	pop
Someday	Ed Whicher	38	Someday	2019-12-20	The Pulse of Indie Poptimism	ysrwXX	0.752	0.431	2	-9.719	1	0.0312	0.536	0.0108	0.128	0.426	140.809	192340	indie poptimism	pop
Apple Pie	Lizzy McAlpine	50	Apple Pie	2019-12-19	The Pulse of Indie Poptimism	ysrwXX	0.594	0.315	10	-9.919	1	0.0327	0.846	1.31e-05	0.122	0.345	89.675	259167	indie poptimism	pop
Free	Matt Walden	38	Free	2019-12-27	The Pulse of Indie Poptimism	ysrwXX	0.521	0.363	9	-12.249	1	0.0287	0.564	0.00223	0.0918	0.156	104.892	204629	indie poptimism	pop
Never Loved You	Evie Clair	41	Never Loved You	2020-01-01	The Pulse of Indie Poptimism	ysrwXX	0.486	0.389	4	-7.717	1	0.029	0.691	0	0.085	0.0869	127.536	206102	indie poptimism	pop
Promises	All Harlem Music	41	The American Dream Vol 2	2019-12-30	The Pulse of Indie Poptimism	ysrwXX	0.461	0.369	10	-10.478	1	0.0372	0.111	0	0.376	0.127	114.075	191250	indie poptimism	pop
Building Chemistry	Cody Francis	42	Get to Know You	2020-01-03	The Pulse of Indie Poptimism	ysrwXX	0.783	0.42	1	-8.779	1	0.0312	0.305	1.08e-06	0.123	0.446	101.998	193625	indie poptimism	pop
Thousand Lakes	Miki Ratsula	38	Thousand Lakes	2019-11-15	The Pulse of Indie Poptimism	ysrwXX	0.609	0.593	9	-5.745	1	0.0365	0.0332	0.00439	0.11	0.264	85.016	160941	indie poptimism	pop
Pull	The Summercamp	41	Incognito Mode	2019-01-03	The Pulse of Indie Poptimism	ysrwXX	0.587	0.539	10	-6.807	1	0.0596	0.0375	0	0.215	0.685	172.205	235639	indie poptimism	pop
Happiest Year	Jaymes Young	65	Happiest Year	2019-07-12	The Pulse of Indie Poptimism	ysrwXX	0.501	0.167	1	-14.061	1	0.0484	0.885	0	0.111	0.356	112.275	228443	indie poptimism	pop
Take a Walk	Passion Pit	68	Gossamer	2012-07-20	Indie Poptimism	9lmx4c	0.566	0.755	11	-5.526	1	0.0368	0.0338	0	0.315	0.445	101.006	264493	indie poptimism	pop
Sit Next to Me	Foster The People	74	Sacred Hearts Club	2017-07-21	Indie Poptimism	9lmx4c	0.638	0.738	6	-4.976	0	0.0292	0.117	0.000384	0.689	0.657	97.021	243147	indie poptimism	pop
Vowels (and the Importance of Being Me)	HUNNY	63	Vowels (and the Importance of Being Me)	2016-04-08	Indie Poptimism	9lmx4c	0.484	0.875	4	-5.237	1	0.0541	0.00154	9.64e-05	0.169	0.724	150.021	184436	indie poptimism	pop
Reforget	Lauv	62	I met you when I was 18. (the playlist)	2018-05-31	Indie Poptimism	9lmx4c	0.44	0.469	5	-8.338	0	0.112	0.449	NA	0.169	0.225	169.755	231676	indie poptimism	pop
Trouble	Cage The Elephant	72	Tell Me Im Pretty	2015-12-18	Indie Poptimism	9lmx4c	0.47	0.623	0	-5.655	1	0.0302	0.392	0.000453	0.0992	0.298	77.861	225973	indie poptimism	pop
Electric Love	BORNS	75	Dopamine	2015-10-16	Indie Poptimism	9lmx4c	0.611	0.797	6	-7.627	0	0.0533	0.00543	0.00137	0.26	0.518	120.041	218107	indie poptimism	pop
First	Cold War Kids	67	Hold My Home	2014-10-31	Indie Poptimism	9lmx4c	0.468	0.692	2	-4.015	1	0.0295	0.0202	2.39e-06	0.523	0.561	78.009	200360	indie poptimism	pop
Kids	MGMT	76	Oracular Spectacular	2007-12-14	Indie Poptimism	9lmx4c	0.451	0.931	9	-3.871	1	0.0719	0.00076	0.0049	0.361	0.172	122.961	302840	indie poptimism	pop
Midnight City	M83	71	Hurry Up, Were Dreaming	NA	Indie Poptimism	9lmx4c	0.526	0.712	11	-6.525	0	0.0356	0.0161	0	0.179	0.32	105.009	241440	indie poptimism	pop
Silvertongue	Young the Giant	66	Home of the Strange	2016-08-12	Indie Poptimism	9lmx4c	0.673	0.789	0	-4.288	1	0.0408	0.00975	0	0.752	0.841	100.043	197427	indie poptimism	pop
Sheep	Mt. Joy	64	Sheep	2017-01-18	Indie Poptimism	9lmx4c	0.498	0.502	2	-8.052	1	0.0371	0.891	0.000907	0.0716	0.286	81.169	215180	indie poptimism	pop
My Thoughts on You	The Band CAMINO	55	My Thoughts on You	2017-05-12	Indie Poptimism	9lmx4c	0.541	0.695	2	-7.75	1	0.0456	0.0148	0.000114	0.137	0.318	115.122	211109	indie poptimism	pop
Oceans	Seafret	64	Tell Me Its Real (Deluxe)	2016-01-29	Indie Poptimism	9lmx4c	0.372	0.462	9	-9.1	0	0.0317	0.267	9.91e-06	0.101	0.176	129.026	215440	indie poptimism	pop
Down	Brandyn Burnette	41	Made of Dreams - EP	2015-11-13	Indie Poptimism	9lmx4c	0.632	0.494	7	-7.283	0	0.207	0.515	0	0.12	0.359	75.216	172852	indie poptimism	pop
Fangs	Night Riots	38	Love Gloom	2017-03-07	Indie Poptimism	9lmx4c	0.522	0.853	7	-3.727	1	0.0393	0.0062	3.21e-05	0.11	0.464	144.917	215462	indie poptimism	pop
Love Is Mystical	Cold War Kids	61	LA DIVINE	2017-04-07	Indie Poptimism	9lmx4c	0.567	0.863	7	-5.158	0	0.037	0.00462	4.77e-05	0.207	0.722	106.03	214360	indie poptimism	pop
My Body	Young the Giant	64	Young the Giant (Special Edition)	NA	Indie Poptimism	9lmx4c	0.488	0.909	10	-6.591	1	0.0929	0.0011	1.02e-05	0.456	0.643	129.774	244400	indie poptimism	pop
Good Morning	Grouplove	53	Big Mess	2017-08-17	Indie Poptimism	9lmx4c	0.562	0.832	2	-5.26	1	0.0499	0.000938	2.83e-06	0.063	0.685	104.042	219560	indie poptimism	pop
Welcome To Your Life	Grouplove	55	Big Mess	2017-08-17	Indie Poptimism	9lmx4c	0.511	0.617	10	-5.883	1	0.0313	0.00223	0	0.201	0.404	90.951	227800	indie poptimism	pop
Electric Feel	MGMT	77	Oracular Spectacular	2007-12-14	Indie Poptimism	9lmx4c	0.763	0.807	1	-3.714	1	0.035	0.0714	NA	0.348	0.559	103.038	229640	indie poptimism	pop
Painkiller	DREAMERS	56	This Album Does Not Exist	2016-08-26	Indie Poptimism	9lmx4c	0.398	0.92	2	-3.267	0	0.0491	0.00311	0.000531	0.108	0.226	200.131	202627	indie poptimism	pop
Feels Like Summer	Weezer	57	Pacific Daydream	2017-10-27	Indie Poptimism	9lmx4c	0.53	0.867	11	-4.989	1	0.0504	0.02	NA	0.737	0.74	175.981	195893	indie poptimism	pop
Island In The Sun	Weezer	75	Weezer (Green Album)	2001-05-15	Indie Poptimism	9lmx4c	0.654	0.81	4	-6.26	0	0.0288	0.00719	0.00251	0.165	0.661	114.623	200307	indie poptimism	pop
Cold Cold Cold	Cage The Elephant	68	Tell Me Im Pretty	2015-12-18	Indie Poptimism	9lmx4c	0.549	0.789	5	-6.071	1	0.0313	0.0178	6.68e-05	0.059	0.715	136.125	214387	indie poptimism	pop
Kamikaze	WALK THE MOON	59	What If Nothing	2017-11-10	Indie Poptimism	9lmx4c	0.575	0.694	1	-5.675	1	0.0709	0.0158	0	0.108	0.442	77.539	196533	indie poptimism	pop
